acc_x,acc_y,acc_z
-0.015768,0.016839,9.821602
-0.014479,0.015959,9.821722
-0.015055,0.017020,9.821922
-0.015426,0.016384,9.823252
-0.016038,0.016610,9.822127
-0.015868,0.016422,9.822560
-0.014616,0.014500,9.822568
-0.014653,0.017807,9.821796
-0.015715,0.017255,9.822397
-0.015831,0.015163,9.822590
-0.015051,0.016856,9.821528
-0.014302,0.016308,9.822873
-0.014941,0.017686,9.822545
-0.015026,0.017033,9.822275
-0.014968,0.014960,9.822650
-0.014796,0.016132,9.821324
-0.014924,0.017192,9.822091
-0.013175,0.016161,9.821802
-0.016015,0.016979,9.821940
-0.015208,0.014767,9.822320
-0.014418,0.015039,9.821404
-0.014506,0.016469,9.821790
-0.015725,0.015754,9.823593
-0.015259,0.013663,9.823462
-0.013426,0.015538,9.821924
-0.015549,0.016371,9.822790
-0.014667,0.016101,9.822206
-0.014473,0.015050,9.822291
-0.014677,0.015642,9.822562
-0.015209,0.016563,9.822845
-0.013581,0.015437,9.823050
-0.015360,0.015054,9.822470
-0.015596,0.015822,9.821971
-0.013974,0.014750,9.823409
-0.015157,0.015880,9.823398
-0.013862,0.016429,9.822410
-0.015365,0.014140,9.822866
-0.014466,0.014313,9.822000
-0.014034,0.016271,9.822197
-0.014835,0.015486,9.822918
-0.014874,0.014016,9.822762
-0.014480,0.015127,9.823250
-0.015534,0.014947,9.821559
-0.015010,0.015355,9.821831
-0.013703,0.015031,9.822895
-0.015530,0.013906,9.823010
-0.014217,0.013420,9.822464
-0.012258,0.015648,9.822999
-0.014847,0.014434,9.822425
-0.015697,0.012386,9.821487
-0.013792,0.013765,9.823086
-0.014508,0.015103,9.821841
-0.014618,0.013695,9.821827
-0.013978,0.013771,9.823044
-0.015295,0.014232,9.822991
-0.014514,0.014099,9.822681
-0.012610,0.014161,9.822883
-0.015714,0.014918,9.823160
-0.014823,0.012815,9.822889
-0.013382,0.013915,9.823499
-0.014876,0.014856,9.822199
-0.013837,0.014184,9.824119
-0.013154,0.013581,9.822954
-0.014598,0.013259,9.822236
-0.014462,0.013428,9.823649
-0.013368,0.014543,9.822777
-0.014399,0.013126,9.823285
-0.014854,0.012810,9.822844
-0.013162,0.014316,9.822450
-0.012077,0.012704,9.823631
-0.013860,0.012623,9.822257
-0.014233,0.013637,9.822782
-0.013939,0.013482,9.823558
-0.013785,0.013826,9.822396
-0.013598,0.012878,9.823168
-0.014564,0.012617,9.822986
-0.015196,0.013942,9.822911
-0.014735,0.012908,9.822964
-0.014541,0.012214,9.823694
-0.013983,0.012382,9.822952
-0.013001,0.013124,9.822471
-0.014916,0.013115,9.822881
-0.014409,0.012718,9.824322
